claim_id,policy_id,customer_id,policy_type,vehicle_segment,incident_type,incident_date,claim_reported,total_claim_amount,repair_estimate,police_report_available,injury_severity,policy_annual_mileage,insured_zip,insured_city,insured_state,fraud_reported
C53059951,P1758412,U157555,Comprehensive,SUV,Rear Collision,11/24/2024,12/08/2024,47848.21,39411.05,Yes,Minor,19526,560002,Bengaluru,Karnataka,No
C19443817,P7804944,U266224,Motor OD,SUV,Windshield Damage,09/30/2023,10/21/2023,17198.59,12168.11,Yes,None,12630,302003,Jaipur,Rajasthan,No
C11575058,P4163154,U088051,Motor TP,Sedan,Rear Collision,04/23/2025,05/21/2025,44317.7,33971.16,No,Minor,16859,226005,Lucknow,Uttar Pradesh,Yes
C07065813,P6887765,U211422,Comprehensive,Pickup,Single Vehicle,08/17/2023,08/20/2023,42875.21,36700.03,No,None,14787,560007,Bengaluru,Karnataka,Yes
C93456766,P1213536,U208886,Comprehensive,Hatchback,Rear Collision,01/29/2023,02/12/2023,28307.6,24503.99,Yes,None,14692,380004,Ahmedabad,Gujarat,No
C74337103,P1098615,U591750,Comprehensive,Hatchback,Single Vehicle,09/19/2023,09/30/2023,10814.31,10188.28,Yes,None,1892,380005,Ahmedabad,Gujarat,No
C83621872,P2944385,U480282,Comprehensive,Pickup,Theft,05/08/2025,05/09/2025,64261.33,61142.73,Yes,None,11792,380006,Ahmedabad,Gujarat,Yes
C49489926,P1004481,U511299,Comprehensive,Pickup,Parking Bump,06/19/2025,06/21/2025,24951.11,17846.41,Yes,None,9944,700010,Kolkata,West Bengal,No
C61612980,P7960463,U271572,Comprehensive,SUV,Single Vehicle,10/24/2023,10/25/2023,47600.38,44353.17,No,None,10683,226003,Lucknow,Uttar Pradesh,Yes
C51989735,P9430280,U158186,Comprehensive,SUV,Side Collision,02/12/2024,02/13/2024,27411.37,19334.63,No,Minor,8461,226003,Lucknow,Uttar Pradesh,No
C59038651,P6775250,U592375,Comprehensive,Hatchback,Head-on,04/20/2023,04/23/2023,21153.26,15666.91,Yes,Minor,14211,380008,Ahmedabad,Gujarat,No
C44272950,P1290486,U128860,Comprehensive,Motorcycle,Rear Collision,01/08/2024,01/09/2024,7475.25,5952.75,No,None,12804,500009,Hyderabad,Telangana,No
C93052219,P8059701,U730381,Comprehensive,Hatchback,Single Vehicle,03/10/2023,03/20/2023,25795.03,23402.01,No,None,17540,560006,Bengaluru,Karnataka,No
C38758197,P2121406,U193108,Comprehensive,SUV,Rear Collision,03/18/2024,03/18/2024,32021.87,27086.33,No,None,10660,411004,Pune,Maharashtra,No
C11611140,P3889676,U513893,Comprehensive,Sedan,Windshield Damage,07/05/2023,07/05/2023,23283.29,18077.53,Yes,None,15197,500004,Hyderabad,Telangana,Yes
C25072570,P0561396,U162008,Comprehensive,Motorcycle,Windshield Damage,09/13/2025,09/17/2025,8223.07,7278.45,Yes,None,19668,560010,Bengaluru,Karnataka,No
C27810544,P3541019,U687410,Motor OD,Hatchback,Parking Bump,01/16/2023,01/23/2023,12475.54,10190.23,No,Minor,7773,110008,Delhi,Delhi,No
C72414968,P5058980,U525811,Comprehensive,Motorcycle,Theft,02/14/2024,02/20/2024,9540.14,7138.23,Yes,None,10966,226006,Lucknow,Uttar Pradesh,No
C82843802,P6245228,U881287,Motor TP,Motorcycle,Single Vehicle,06/13/2025,07/02/2025,13006.46,11793.87,No,None,9110,400008,Mumbai,Maharashtra,No
C83408717,P1010448,U192709,Comprehensive,SUV,Windshield Damage,08/21/2023,08/23/2023,29982.0,23680.03,Yes,Minor,11992,302008,Jaipur,Rajasthan,Yes
C79105665,P6609682,U153549,Motor OD,Hatchback,Windshield Damage,09/28/2023,09/30/2023,11326.43,9657.2,Yes,None,17513,500003,Hyderabad,Telangana,No
C46869588,P7150080,U590993,Motor OD,Sedan,Side Collision,03/25/2024,04/04/2024,29675.32,25351.88,No,None,7019,500010,Hyderabad,Telangana,Yes
C25397205,P3997821,U128859,Motor TP,Hatchback,Windshield Damage,08/17/2023,08/17/2023,16347.08,12461.97,Yes,None,9234,302009,Jaipur,Rajasthan,Yes
C06294314,P2954828,U605648,Comprehensive,SUV,Head-on,01/08/2025,01/13/2025,45283.91,37296.59,Yes,None,14978,777777,Mumbai,Maharashtra,Yes
C86948678,P0005848,U803236,Motor OD,Van,Rear Collision,06/30/2023,07/01/2023,48136.74,43220.17,Yes,None,9769,400001,Mumbai,Maharashtra,Yes
C52204014,P7188006,U446145,Motor TP,Hatchback,Side Collision,08/09/2025,08/09/2025,13710.24,13621.39,Yes,None,16220,380001,Ahmedabad,Gujarat,No
C51323314,P0202741,U624354,Comprehensive,Hatchback,Head-on,02/06/2023,02/08/2023,64024.73,58773.32,Yes,None,12943,302005,Jaipur,Rajasthan,No
C63376589,P5386287,U916311,Comprehensive,SUV,Windshield Damage,04/09/2025,04/19/2025,8017.5,6266.29,Yes,Minor,10236,226005,Lucknow,Uttar Pradesh,No
C07576480,P6086789,U597596,Comprehensive,SUV,Head-on,05/17/2024,05/19/2024,67550.42,56677.11,Yes,None,9867,560008,Bengaluru,Karnataka,No
C25100119,P6891157,U100844,Motor OD,Van,Single Vehicle,05/05/2024,05/24/2024,38059.45,37498.3,Yes,None,5861,302001,Jaipur,Rajasthan,Yes
C20114103,P0085224,U461668,Motor OD,Motorcycle,Single Vehicle,04/13/2025,04/18/2025,11014.73,7922.22,Yes,None,9115,400010,Mumbai,Maharashtra,No
C76754628,P9064060,U417590,Motor OD,SUV,Windshield Damage,04/30/2024,05/02/2024,34590.08,27604.98,Yes,Minor,15292,700006,Kolkata,West Bengal,No
C83064584,P0314526,U155954,Comprehensive,Hatchback,Single Vehicle,10/19/2023,10/25/2023,23692.23,22356.51,No,None,11430,400008,Mumbai,Maharashtra,No
C80814550,P1183255,U852256,Motor TP,Sedan,Single Vehicle,10/20/2024,10/27/2024,11330.43,9191.37,No,None,22799,226003,Lucknow,Uttar Pradesh,Yes
C80570566,P6258392,U912300,Comprehensive,Sedan,Parking Bump,07/04/2023,07/14/2023,3248.86,3000.95,Yes,Minor,8705,110008,Delhi,Delhi,No
C86418343,P0218209,U544669,Motor OD,Sedan,Windshield Damage,06/18/2023,07/09/2023,22583.9,19568.34,Yes,None,9579,500002,Hyderabad,Telangana,Yes
C04187318,P5252878,U384584,Comprehensive,Hatchback,Windshield Damage,09/04/2023,09/09/2023,16776.02,13819.39,Yes,None,20555,700001,Kolkata,West Bengal,No
C78403080,P4491804,U484665,Comprehensive,Sedan,Side Collision,05/18/2023,05/21/2023,49127.43,34684.84,No,None,15261,380008,Ahmedabad,Gujarat,Yes
C19484992,P5705321,U326106,Comprehensive,Pickup,Single Vehicle,04/26/2023,05/12/2023,57782.63,49250.77,Yes,None,19196,600007,Chennai,Tamil Nadu,Yes
C14662694,P3686979,U262139,Comprehensive,Sedan,Rear Collision,10/29/2023,11/05/2023,21031.91,16416.76,Yes,None,10024,400010,Mumbai,Maharashtra,Yes
C86041735,P4937533,U337044,Comprehensive,SUV,Theft,07/30/2025,08/04/2025,48758.96,44479.68,Yes,None,10369,400009,Mumbai,Maharashtra,No
C24488454,P1898192,U181703,Motor TP,SUV,Single Vehicle,01/11/2024,01/14/2024,57289.97,40590.41,Yes,None,11498,411001,Pune,Maharashtra,No
C39004381,P4981924,U014086,Comprehensive,Hatchback,Parking Bump,07/04/2025,07/09/2025,5954.31,5862.27,Yes,Minor,9129,700010,Kolkata,West Bengal,No
C05233783,P7119613,U019243,Motor OD,Hatchback,Side Collision,03/16/2025,03/18/2025,4447.08,3249.83,Yes,Minor,6040,110006,Delhi,Delhi,Yes
C65013156,P0757836,U017195,Motor TP,SUV,Single Vehicle,10/05/2023,10/12/2023,83378.71,65628.3,No,None,7914,380002,Ahmedabad,Gujarat,Yes
C78737160,P1137080,U996894,Motor OD,Hatchback,Rear Collision,05/26/2025,05/27/2025,14118.43,10511.35,No,None,21432,700006,Kolkata,West Bengal,No
C57519022,P4843024,U234710,Comprehensive,Sedan,Rear Collision,05/04/2023,05/05/2023,22958.84,16536.11,No,None,10660,600010,Chennai,Tamil Nadu,Yes
C52775718,P5309004,U222655,Comprehensive,SUV,Single Vehicle,05/10/2024,05/15/2024,76526.53,61690.02,No,Minor,11836,222222,Delhi,Delhi,Yes
