pin,city,district,state
110001,Delhi,New Delhi,Delhi
110002,Delhi,New Delhi,Delhi
110003,Delhi,New Delhi,Delhi
110004,Delhi,New Delhi,Delhi
110005,Delhi,New Delhi,Delhi
110006,Delhi,New Delhi,Delhi
110007,Delhi,New Delhi,Delhi
110008,Delhi,New Delhi,Delhi
110009,Delhi,New Delhi,Delhi
110010,Delhi,New Delhi,Delhi
400001,Mumbai,Mumbai,Maharashtra
400002,Mumbai,Mumbai,Maharashtra
400003,Mumbai,Mumbai,Maharashtra
400004,Mumbai,Mumbai,Maharashtra
400005,Mumbai,Mumbai,Maharashtra
400006,Mumbai,Mumbai,Maharashtra
400007,Mumbai,Mumbai,Maharashtra
400008,Mumbai,Mumbai,Maharashtra
400009,Mumbai,Mumbai,Maharashtra
400010,Mumbai,Mumbai,Maharashtra
560001,Bengaluru,Bengaluru Urban,Karnataka
560002,Bengaluru,Bengaluru Urban,Karnataka
560003,Bengaluru,Bengaluru Urban,Karnataka
560004,Bengaluru,Bengaluru Urban,Karnataka
560005,Bengaluru,Bengaluru Urban,Karnataka
560006,Bengaluru,Bengaluru Urban,Karnataka
560007,Bengaluru,Bengaluru Urban,Karnataka
560008,Bengaluru,Bengaluru Urban,Karnataka
560009,Bengaluru,Bengaluru Urban,Karnataka
560010,Bengaluru,Bengaluru Urban,Karnataka
600001,Chennai,Chennai,Tamil Nadu
600002,Chennai,Chennai,Tamil Nadu
600003,Chennai,Chennai,Tamil Nadu
600004,Chennai,Chennai,Tamil Nadu
600005,Chennai,Chennai,Tamil Nadu
600006,Chennai,Chennai,Tamil Nadu
600007,Chennai,Chennai,Tamil Nadu
600008,Chennai,Chennai,Tamil Nadu
600009,Chennai,Chennai,Tamil Nadu
600010,Chennai,Chennai,Tamil Nadu
500001,Hyderabad,Hyderabad,Telangana
500002,Hyderabad,Hyderabad,Telangana
500003,Hyderabad,Hyderabad,Telangana
500004,Hyderabad,Hyderabad,Telangana
500005,Hyderabad,Hyderabad,Telangana
500006,Hyderabad,Hyderabad,Telangana
500007,Hyderabad,Hyderabad,Telangana
500008,Hyderabad,Hyderabad,Telangana
500009,Hyderabad,Hyderabad,Telangana
500010,Hyderabad,Hyderabad,Telangana
700001,Kolkata,Kolkata,West Bengal
700002,Kolkata,Kolkata,West Bengal
700003,Kolkata,Kolkata,West Bengal
700004,Kolkata,Kolkata,West Bengal
700005,Kolkata,Kolkata,West Bengal
700006,Kolkata,Kolkata,West Bengal
700007,Kolkata,Kolkata,West Bengal
700008,Kolkata,Kolkata,West Bengal
700009,Kolkata,Kolkata,West Bengal
700010,Kolkata,Kolkata,West Bengal
380001,Ahmedabad,Ahmedabad,Gujarat
380002,Ahmedabad,Ahmedabad,Gujarat
380003,Ahmedabad,Ahmedabad,Gujarat
380004,Ahmedabad,Ahmedabad,Gujarat
380005,Ahmedabad,Ahmedabad,Gujarat
380006,Ahmedabad,Ahmedabad,Gujarat
380007,Ahmedabad,Ahmedabad,Gujarat
380008,Ahmedabad,Ahmedabad,Gujarat
380009,Ahmedabad,Ahmedabad,Gujarat
380010,Ahmedabad,Ahmedabad,Gujarat
411001,Pune,Pune,Maharashtra
411002,Pune,Pune,Maharashtra
411003,Pune,Pune,Maharashtra
411004,Pune,Pune,Maharashtra
411005,Pune,Pune,Maharashtra
411006,Pune,Pune,Maharashtra
411007,Pune,Pune,Maharashtra
411008,Pune,Pune,Maharashtra
411009,Pune,Pune,Maharashtra
411010,Pune,Pune,Maharashtra
302001,Jaipur,Jaipur,Rajasthan
302002,Jaipur,Jaipur,Rajasthan
302003,Jaipur,Jaipur,Rajasthan
302004,Jaipur,Jaipur,Rajasthan
302005,Jaipur,Jaipur,Rajasthan
302006,Jaipur,Jaipur,Rajasthan
302007,Jaipur,Jaipur,Rajasthan
302008,Jaipur,Jaipur,Rajasthan
302009,Jaipur,Jaipur,Rajasthan
302010,Jaipur,Jaipur,Rajasthan
226001,Lucknow,Lucknow,Uttar Pradesh
226002,Lucknow,Lucknow,Uttar Pradesh
226003,Lucknow,Lucknow,Uttar Pradesh
226004,Lucknow,Lucknow,Uttar Pradesh
226005,Lucknow,Lucknow,Uttar Pradesh
226006,Lucknow,Lucknow,Uttar Pradesh
226007,Lucknow,Lucknow,Uttar Pradesh
226008,Lucknow,Lucknow,Uttar Pradesh
226009,Lucknow,Lucknow,Uttar Pradesh
226010,Lucknow,Lucknow,Uttar Pradesh
